ts_server,prolific_pid,study_id,session_id,index,total,prev_image,current_image,description_a,description_b,model_position,choice,confidence,comments,ua
2025-11-17T03:37:20.837Z,,,,0,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000022.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000023.jpg,"""User and robot are approaching the elevator from a short distance; elevator doors are closed, no button interaction yet; environment is clear with no other people present.""","""Robot is in font of elevator door. user is behind robot. Robot is not aligned with elevator door.""",A,A,75,A describes the action of the scene while B's description is more static.,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:39:05.411Z,,,,1,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000046.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000047.jpg,"""The robot is facing the elevator and the user is to the right side of the robot. Another users feet are facing the robot from the right side.""","""User is at the elevator threshold with robot guiding, preparing to enter as doors are fully open; another person is visible nearby, indicating social context but no obstruction.""",B,B,50,B is more specific and describes the open door.,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:40:02.184Z,,,,2,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""The robot is in a fixed position inside of the lift. Two users legs are visible stood both inside and outside of the lift. User's arm operating the control is visible on the left. Path out of the lift is blocked.""","""User is entering the elevator with robot assistance; doors are fully open, and other people are present inside and at the threshold, indicating a crowded but safe entry phase.""",B,B,70,"I prefer the wording, feels less clunky.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:41:45.360Z,,,,3,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""User is entering the elevator with robot assistance; doors are fully open, and other people are present inside and at the threshold, indicating a crowded but safe entry phase.""","""user is standing in elevator door way. There is no robot present. there is a occupant with a toy in hand that is in the elevator. Only hand and toy is visible of the occupant in the elevator.""",A,Neither,66,Neither accurately describes the scene - user in not standing in door way (B) nor is the user entering (A).,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:42:23.734Z,,,,0,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000022.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000023.jpg,"""Robot is in font of elevator door. user is behind robot. Robot is not aligned with elevator door.""","""Robot guide-dog and user are positioned directly in front of a closed elevator. The call button panel is visible on the wall to the right of the doors; no one is pressing it yet. The robot is stationary near the elevator threshold and the user is holding a control device, apparently preparing to interact. Elevator doors are closed and there are no other people nearby. Exposed wiring and open electronics on the robot present a minor trip/electrical hazard that should be monitored before entering.""",B,A,80,A gives a more accurate description.  Description B was too wordy and did not seem very accurate.,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:43:19.233Z,,,,4,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""User is entering the elevator with robot assistance; doors are fully open, and other people are present inside and at the threshold, indicating a crowded but safe entry phase.""","""User's hands and feet are visible. They are inside an elevator, holding remote controls.""",A,Neither,70,Neither description is accurate; the user is already inside (A) and the user's feet are not visible (B),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:43:35.973Z,,,,1,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000046.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000047.jpg,"""Elevator doors are open and the robot is positioned at the elevator threshold guiding the user. The user’s hand is extended toward the door/wall area and another person stands nearby; no button press is occurring in this frame. The user appears to be about to enter the elevator (arrival and entry phase).""","""The robot is facing the elevator and the user is to the right side of the robot. Another users feet are facing the robot from the right side.""",A,B,84,The robot is not positioned at the elevator threshold as described in Description A,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:43:47.808Z,,,,5,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000081.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000082.jpg,"""The handler is behind the robotic dog, only feet are visable. The task appears to be entering the elevator. The robotic dog appears to be turning inside the lift, scanning the environment. The path is free from hazards and obstructions.""","""User is stepping into the elevator with robot assistance; doors are fully open, and other individuals are present inside the elevator.""",B,B,30,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:44:49.837Z,,,,2,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""Elevator doors are open and the robot (with operator holding a controller) is at the threshold/partially inside. Two other people are standing in the doorway, partially blocking entry. No call or floor buttons are being pressed in this frame; the user is in the process of entering the elevator and floor selection/riding has not yet occurred. The scene is crowded at the entrance, creating a minor safety concern (potential obstruction/pinch hazard).""","""The robot is in a fixed position inside of the lift. Two users legs are visible stood both inside and outside of the lift. User's arm operating the control is visible on the left. Path out of the lift is blocked.""",A,B,90,The robot and operator are fully in the elevator not at the threshold as described in description A,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:45:42.979Z,,,,3,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""user is standing in elevator door way. There is no robot present. there is a occupant with a toy in hand that is in the elevator. Only hand and toy is visible of the occupant in the elevator.""","""Elevator doors are open and the robot (with operator holding a controller) is at the threshold/partially inside. Two other people are standing in the doorway, partially blocking entry. No call or floor buttons are being pressed in this frame; the user is in the process of entering the elevator and floor selection/riding has not yet occurred. The scene is crowded at the entrance, creating a minor safety concern (potential obstruction/pinch hazard).""",B,Neither,81,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
