prev_image,current_image,description_a,description_b,model_position
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000214.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000215.jpg,"""The user is holding the robot guide handle and walking in a hallway, moving together toward the elevator area; no elevator or buttons are visible yet, indicating the approach phase of the elevator interaction.""","""The robot and its handler are in a corridor that narrows as you go further down, The handler appears to be at an awkward angle to control the robot with an outstretched hand grasping the handle of the robot. There is a workman in the corridor where the robot will pass, hit will have to wait until taht man moves.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000222.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000223.jpg,"""The user of the robot is guiding the robot down a corridor, he is to the right of the robot. The corridor will narrow  as the robot passes down. There is a workman crouching down in the narrow bit, he is in the way.""","""User holds the guide handle attached to the robot dog and walks down a hallway away from an office door; no elevator or buttons are visible yet, indicating early approach phase toward the elevator area.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000226.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000227.jpg,"""The user is holding the guide robot’s handle and starting to walk down the hallway; no elevator or buttons are visible yet, indicating the elevator interaction has not begun beyond initial approach toward its general direction.""","""Robot is in the middle of the room with control. No obstacles and users feet to the left.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000228.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000229.jpg,"""robot is passage. user is on the right side of robot. There is a person in front of robot.""","""User is walking down a hallway holding the robot guide handle, moving toward the far end where another person is present; no elevator doors or buttons are visible yet, indicating the elevator interaction has not begun beyond the approach phase.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000231.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000232.jpg,"""User follows the guide robot along a hallway on the origin floor, moving toward the distant elevator area; no elevator doors or buttons are visible yet and no elevator interaction has started.""","""The robotic dog is walking along a carpeted hallway under human supervision, with users nearby, including one wearing a white shirt and blue shorts. The robot seems aligned with the hallway pathway and is equipped with sensors for navigation. The environment is well lit and unobstructed with wooden doors and signage indicating an indoor facility suitable for testing.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000270.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000271.jpg,"""The handler is behinfd the robotic dog with the controls and their hand only visable. The robotic dogs task apperas to be leaving he room through the door, the robotic dog is scanning the environment whilst walking. The door is partially obstructed by a human, and the robotic dog appears misaligned to get through the door successfully.""","""The user, holding the guide handle attached to the robot, has left the carpeted hallway and entered the elevator lobby area, moving toward the closed elevator doors and call button; no elevator or button interaction yet.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000272.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000273.jpg,"""The user, holding the robot guide handle, is moving with the robot from a room into the hallway on what appears to be the origin floor; no elevator or elevator buttons are yet visible, indicating the early approach phase of the elevator interaction.""","""A user is actively interacting with the robot; one person's body is only partially seen, the other 2 hands can be seen, and one seems to be the one controlling the robot. The robot is aligned with a designated path, suggesting a calibration task. Path is clear with no obstacles.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000295.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000296.jpg,"""The robot remains to the left side of the room.user is at the back of the room standing stationsry in the middle. User is aligned with robot and another user crouched at the left side of the room.""","""User and guide robot are in a hallway moving away from a room toward the corridor; no elevator or buttons are visible yet, indicating the elevator interaction has not started and they are in the approach phase.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000299.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000300.jpg,"""The user is in a hallway following the quadruped guide robot toward the end of the corridor; no elevator or buttons are yet visible, indicating the elevator interaction has not started beyond the approach phase.""","""The robotic dog is navigating a carpeted hallway, guiding a user who maintains close proximity and alignment. The user holds the handle with appropriate tension, indicating active control. The environment is well lit and unobstructed, with lockers and doors along the walls; this is a safe indoor setting.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000300.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000301.jpg,"""The handler is stationery in front of the robotic dog, further down the hallway. The robotic dogs task appears to be to reach the handler. The robotic dog appears to be moving toward the handler, but is slightly misaligned, there are no obstructions or hazards in the area. The task does not appear to have been completed.""","""The user is holding the guide handle attached to the robot and has just exited a room into a hallway. They are beginning to move along the corridor, likely toward where the elevator is located, but are not yet near the elevator or any call buttons.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000345.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000346.jpg,"""Users feet are just seen at start of frame. The robot is entering another room, straight on. Alignment looks good with control""","""Robot and user are moving from the hallway into a room; no elevator, doors, or buttons are visible, so the elevator interaction has not yet begun.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000011.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000012.jpg,"""Robot is standing in front of elevator door. user is standing to left of robot. No obstacles in front of robot.""","""Robot and user have arrived in the lobby area and are facing a bank of elevators at some distance; elevator doors are closed and no button interactions have begun yet, indicating the start of the elevator approach phase.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000011.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000012.jpg,"""The dog and user are near stairs and an elevator. No obstructions visible.""","""Robot and user have arrived in the lobby area and are facing a bank of elevators at some distance; elevator doors are closed and no button interactions have begun yet, indicating the start of the elevator approach phase.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000016.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000017.jpg,"""User with robot guide dog is in the lobby, oriented toward a bank of closed elevator doors at some distance. They are still approaching the elevator; no call button interaction or entry has started yet. Another person is present nearby but not impeding the path.""","""The handler is on the left hand side of the robotic dog. T%he task appears to be walking to the elevator. The dog is walking and scanning the area and the path is clear with no hazards or obstructions. Appears to be no drift, good control.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000018.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000019.jpg,"""Robot is to the right of the room facing and elevator and stairs. No user seen.""","""User with robot guide dog is moving across the lobby toward a bank of closed elevator doors, still some distance away and has not yet interacted with any buttons.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000030.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000031.jpg,"""User is stationery behind the robotic dog. The dog is stationery by the lift facing the control panel. The dog appears to be misaligned to enter the lift once the doors open. The goal of reaching the door has mildly been achieved.""","""The user, holding the robot guide handle and remote, has moved closer to the elevator bank with the robot positioned in front, facing the closed elevator doors. No call button or floor button interaction has occurred yet; the team is still in the approach phase on the origin floor with a clear environment and a bystander nearby.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000052.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000053.jpg,"""The handler appears to be on the left hand side of the lift pushing the elevator button. The robotic dogs task appears to be waiting for the lift to opne. The robotic dog is stationery facing the lift and scanning the environment. There are no obstructions or hazards in the way. Task appears to be completed.""","""The elevator doors are open at the origin floor and the robot guide dog is positioned directly in front of the entrance, with the user just behind it preparing to enter. Another person is at the call button panel, likely having activated or holding the door. The interaction is in the transition from waiting to entering the elevator.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000067.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000068.jpg,"""Robot is elevator and not aligned to elevator door. user is outside of elevator.""","""The user and robot have moved from the lobby into the elevator car and are now fully inside with the doors still open at the origin floor, having just completed the entry phase; floor selection and riding have not yet occurred.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000087.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000088.jpg,"""Robot is at the left facing the elevator. User is to the right, feet are seen and hands on a controller.""","""User and robot guide dog are fully inside the elevator with doors closed, standing near the control panel after floor selection, riding the elevator toward the destination floor.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000101.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000102.jpg,"""The user is beside the robot; feet and hands can be seen. The robot is going through a door towards the hallway; the handle is held with slight tension, indicating guidance to some other rooms on the other side.""","""At the destination floor, the elevator doors are open and the user with the robot guide is beginning to exit the elevator into the hallway.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000110.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000111.jpg,"""The handler is behind the dog, with only the control and hand visible. The dogs task appears to be walking down the hallway. The dog appears to be scanning the environment and its pathe is free from hazards and obstructions. The dog appears to be travelling a misaligned path.""","""The user and robot have exited the elevator onto the destination floor lobby. The elevator is behind them with doors open, and another person stands nearby. The elevator journey, including exit, appears successfully completed in a clear environment.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000115.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000116.jpg,"""The user and robot have exited the elevator onto the destination floor lobby. The elevator doors behind them are open, the user is walking away holding the robot’s handle, and another person is present ahead. This indicates the elevator ride, floor selection, and exit have been successfully completed.""","""The user follows the robotic guide dog along a hallway, remaining aligned with its path all along. The handle is held steadily, showing controlled guidance. The path followed is clear with no obstacles, and both user and robot move smoothly towards the visible elevator doors.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000116.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000117.jpg,"""The robot is slightly to the left of the user, the  user has the fore finger on the robot button , the user is controlling the robot to the automatic doors. A person to his left stops by the wall to allow the robot to make a smooth passage to its destination.""","""The elevator doors are open at a new floor while the robot stands at the threshold and the user steps out, indicating arrival at the destination and the exit phase of the elevator journey.""",B
