prev_image,current_image,description_a,description_b,model_position
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000022.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000023.jpg,"""Robot is in font of elevator door. user is behind robot. Robot is not aligned with elevator door.""","""Robot guide-dog and user are positioned directly in front of a closed elevator. The call button panel is visible on the wall to the right of the doors; no one is pressing it yet. The robot is stationary near the elevator threshold and the user is holding a control device, apparently preparing to interact. Elevator doors are closed and there are no other people nearby. Exposed wiring and open electronics on the robot present a minor trip/electrical hazard that should be monitored before entering.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000046.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000047.jpg,"""Elevator doors are open and the robot is positioned at the elevator threshold guiding the user. The user’s hand is extended toward the door/wall area and another person stands nearby; no button press is occurring in this frame. The user appears to be about to enter the elevator (arrival and entry phase).""","""The robot is facing the elevator and the user is to the right side of the robot. Another users feet are facing the robot from the right side.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""Elevator doors are open and the robot (with operator holding a controller) is at the threshold/partially inside. Two other people are standing in the doorway, partially blocking entry. No call or floor buttons are being pressed in this frame; the user is in the process of entering the elevator and floor selection/riding has not yet occurred. The scene is crowded at the entrance, creating a minor safety concern (potential obstruction/pinch hazard).""","""The robot is in a fixed position inside of the lift. Two users legs are visible stood both inside and outside of the lift. User's arm operating the control is visible on the left. Path out of the lift is blocked.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""user is standing in elevator door way. There is no robot present. there is a occupant with a toy in hand that is in the elevator. Only hand and toy is visible of the occupant in the elevator.""","""Elevator doors are open and the robot (with operator holding a controller) is at the threshold/partially inside. Two other people are standing in the doorway, partially blocking entry. No call or floor buttons are being pressed in this frame; the user is in the process of entering the elevator and floor selection/riding has not yet occurred. The scene is crowded at the entrance, creating a minor safety concern (potential obstruction/pinch hazard).""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""Elevator doors are open and the robot (with operator holding a controller) is at the threshold/partially inside. Two other people are standing in the doorway, partially blocking entry. No call or floor buttons are being pressed in this frame; the user is in the process of entering the elevator and floor selection/riding has not yet occurred. The scene is crowded at the entrance, creating a minor safety concern (potential obstruction/pinch hazard).""","""User's hands and feet are visible. They are inside an elevator, holding remote controls.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000081.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000082.jpg,"""The handler is behind the robotic dog, only feet are visable. The task appears to be entering the elevator. The robotic dog appears to be turning inside the lift, scanning the environment. The path is free from hazards and obstructions.""","""View from inside elevator: doors are open and two people are standing in the doorway/threshold partially blocking access. The operator's hand and a robot controller/device are visible inside the car. No floor button press is visible; elevator is stationary with doors open at the origin floor. Potential safety concern: people blocking the threshold and small gap at the track area.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000092.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000093.jpg,"""The robot and two people are inside the elevator with the doors open. Compared to prior frames (where occupants were at the threshold), users have moved fully into the cabin. A green-lit square on the control panel indicates a floor button has been pressed (floor selection appears completed). Elevator is stationary at the origin floor, ready to begin the ride. No immediate safety hazards visible; other people are present and occupy space near the walls.""","""The user is stationery on the left side of the room with feet visable. The robot dog is looking out of the lift door as it is opening, monitoring the environment. There are no hazards or obstructions in the pathway.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000093.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000094.jpg,"""Robot in front of the elevator doors. there's two users to the right where feet are only seen.""","""Robot and two people are inside the elevator. The doors are nearly closed (thin light gap visible) indicating the elevator is leaving the origin floor. No floor button press is visible yet. Robot is positioned on the floor near the center/front, wires/components extend near passengers' feet — potential trip/crush hazard as doors close. Overall the user has approached, called, and entered; next step (select destination floor and ride) has not been completed.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000096.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000097.jpg,"""The handler is in the left hand corner of the lift, stationery with just their feet visible. The robotic dog appears to be stationery facing the lift doors, it appears to be scanning the environment, the pathway is free from hazards and obstructions. The task of getting into the lift appears to have been completed successfully.""","""Robot and two people are inside the elevator. The interior panel shows a green-lit indicator (floor selected). The robot is positioned near the center facing the doors; the doors are nearly shut/closing, indicating the elevator is about to move. Floor selection appears completed. Wires and exposed components on the robot lie on the floor, creating a potential trip / entanglement hazard in the confined elevator space. Other people are present, so maintain spacing and monitor doors while riding.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000098.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000099.jpg,"""The user is stationery on the left hand side of the robotic dog. The dog is stationery and scanning the environment. The dogs path is clear and free from hazards and obstructions. The task appears to be wait at the elevator doors, and seems to be completed.""","""The robot and two people are inside the elevator. The car doors are closed (previously open) and a green indicator on the control panel suggests a floor has been selected. The group appears to be en route (elevator moving). Exposed wiring and equipment on the robot present a potential trip/hazard in the confined space; other people present may affect maneuvering.""",B
