prev_image,current_image,description_a,description_b,model_position
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000272.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000273.jpg,"""""""User with robot guide dog is approaching an already open doorway in a hallway. The robot is positioned between the user's legs at the threshold of the doorway where blue and brown patterned flooring meet. Another person is visible in the background. The door appears to already be open, allowing passage. The user is in the initial approach phase of the door interaction task.""""""","""""""A user is actively interacting with the robot; one person's body is only partially seen, the other 2 hands can be seen, and one seems to be the one controlling the robot. The robot is aligned with a designated path, suggesting a calibration task. Path is clear with no obstacles.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000295.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000296.jpg,"""""""Initial frame showing a robot guide dog in a carpeted hallway with yellow walls. The robot is positioned in the foreground, with two people visible in the hallway ahead - one person standing closer to the camera and another person further down the corridor. The environment appears to be an indoor building hallway with doors visible along the sides, a fire extinguisher on the wall, and clear pathways. No active door or elevator interaction is currently taking place; this appears to be the starting position before any navigation task begins.""""""","""""""The robot remains to the left side of the room.user is at the back of the room standing stationsry in the middle. User is aligned with robot and another user crouched at the left side of the room.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000299.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000300.jpg,"""""""Initial frame showing a robot guide dog in a hallway with a user visible in the distance down the corridor. The robot appears to be in a standby or ready position. The environment is an indoor hallway with patterned carpet, yellow walls, doors along the sides, and a fire extinguisher visible. The user is standing at a distance, and another person appears to be present near the user. No active door or elevator interaction has begun yet - this appears to be a pre-task or approach phase.""""""","""""""The robotic dog is navigating a carpeted hallway, guiding a user who maintains close proximity and alignment. The user holds the handle with appropriate tension, indicating active control. The environment is well lit and unobstructed, with lockers and doors along the walls; this is a safe indoor setting.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000300.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000301.jpg,"""""""The handler is stationery in front of the robotic dog, further down the hallway. The robotic dogs task appears to be to reach the handler. The robotic dog appears to be moving toward the handler, but is slightly misaligned, there are no obstructions or hazards in the area. The task does not appear to have been completed.""""""","""""""User has successfully passed through a door (visible open on left side with blue panels) and is now walking down a hallway with the robot guide dog following. The door interaction phase appears complete. User is moving forward in the corridor, suggesting progression toward the next task phase, likely approaching an elevator. The environment is an indoor hallway with yellow walls, brown carpet, and multiple doors along the corridor.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000345.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000346.jpg,"""""""Users feet are just seen at start of frame. The robot is entering another room, straight on. Alignment looks good with control""""""","""""""Robot guide dog positioned at threshold between carpeted and blue-tiled floor areas, approaching what appears to be a doorway or room transition. The robot is oriented toward the carpeted area with door visible to the left. Task is in initial door approaching phase with the door currently closed. Environment appears to be an indoor laboratory or testing facility with clear pathways.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000011.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000012.jpg,"""""""The dog and user are near stairs and an elevator. No obstructions visible.""""""","""""""Initial frame shows robot guide dog positioned in a lobby area facing elevator doors. The elevator is visible in the center background with closed metallic doors. The robot appears to be guiding the user (partially visible at bottom of frame) toward the elevator. The environment is an indoor institutional setting with polished floors, stairs visible to the left, and clear pathways. Task is in early elevator approach phase with no button interaction yet initiated.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000016.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000017.jpg,"""""""User holds robot guide dog harness while approaching elevator area in a building lobby. The user's hand is visible gripping the blue harness handle with the robot dog ahead. Elevator doors are visible in the background (closed). Other people present in the lobby area near vending machines and stairs. Environment is a clear indoor lobby with polished tile flooring. Task is in early elevator approach phase, with user and robot moving toward the elevator bank.""""""","""""""The handler is on the left hand side of the robotic dog. T%he task appears to be walking to the elevator. The dog is walking and scanning the area and the path is clear with no hazards or obstructions. Appears to be no drift, good control.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000018.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000019.jpg,"""""""Robot is to the right of the room facing and elevator and stairs. No user seen.""""""","""""""Robot guide dog positioned in a large lobby area with polished terrazzo flooring. The environment shows elevator doors in the background (center-left), stairs on the left, and a seating area with wooden benches on the right. The robot appears to be in the early stages of an elevator interaction task, approaching the elevator area from a distance. The elevator doors are closed and the environment is clear with no obstacles or other people visible. This represents the initial approach phase of the elevator task.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000030.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000031.jpg,"""""""User with robot guide dog positioned at elevator area. User's hand is holding a blue device/controller while the robot guide dog (white and blue robotic device) is positioned near closed silver elevator doors. Elevator control panel visible on left wall. Stairs visible in background. Task is in early elevator interaction phase - user has approached elevator and is positioned at the call area. Elevator doors are closed, indicating elevator has not yet been called or is not yet arrived.""""""","""""""User is stationery behind the robotic dog. The dog is stationery by the lift facing the control panel. The dog appears to be misaligned to enter the lift once the doors open. The goal of reaching the door has mildly been achieved.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000052.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000053.jpg,"""""""User's hand is pressing an illuminated green call button on the elevator control panel. The elevator doors are already open, revealing an empty elevator car with beige/tan interior walls and handrails. A robot guide dog (blue wheeled robot) is positioned on the floor near the elevator threshold, waiting to assist. The environment shows a clear hallway with granite flooring. The user is actively engaged with the elevator call button despite the doors already being open, suggesting they may be confirming the call or the elevator just arrived.""""""","""""""The handler appears to be on the left hand side of the lift pushing the elevator button. The robotic dogs task appears to be waiting for the lift to opne. The robotic dog is stationery facing the lift and scanning the environment. There are no obstructions or hazards in the way. Task appears to be completed.""""""",A
