prev_image,current_image,description_a,description_b,model_position
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000272.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000273.jpg,"""""""The user is actively passing through an open doorway, holding the robot guide dog's handle. The robot is positioned at the threshold, leading the user from a room with blue flooring into a carpeted hallway where another person is standing.""""""","""""""A user is actively interacting with the robot; one person's body is only partially seen, the other 2 hands can be seen, and one seems to be the one controlling the robot. The robot is aligned with a designated path, suggesting a calibration task. Path is clear with no obstacles.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000295.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000296.jpg,"""""""The robot guide dog is actively guiding the user down a carpeted hallway, passing lockers on the left and closed doors on the right. The user is following the robot in the approach phase, moving towards a destination further down the corridor. Two other people are present in the hallway; one standing ahead and another partially visible near a fire extinguisher.""""""","""""""The robot remains to the left side of the room.user is at the back of the room standing stationsry in the middle. User is aligned with robot and another user crouched at the left side of the room.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000299.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000300.jpg,"""""""The user is being guided down a hallway by the robot, approaching a destination. The robot is navigating past a person crouching on the left near a fire extinguisher and moving towards another person standing down the hall. A closed door is visible on the right, but the robot continues forward.""""""","""""""The robotic dog is navigating a carpeted hallway, guiding a user who maintains close proximity and alignment. The user holds the handle with appropriate tension, indicating active control. The environment is well lit and unobstructed, with lockers and doors along the walls; this is a safe indoor setting.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000300.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000301.jpg,"""""""The handler is stationery in front of the robotic dog, further down the hallway. The robotic dogs task appears to be to reach the handler. The robotic dog appears to be moving toward the handler, but is slightly misaligned, there are no obstructions or hazards in the area. The task does not appear to have been completed.""""""","""""""The robot is guiding the user down a hallway lined with lockers on the left and office doors on the right, moving towards an exit door at the far end. The path is currently obstructed by social actors: one person is standing directly in the center of the hallway facing the robot, and another person is partially visible crouching behind a pillar on the left near a fire extinguisher. The robot is in the 'guiding' state, navigating the user (who is holding the handle behind the camera) through this social environment to approach the destination door. No elevator interaction is currently taking place.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000345.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-door/000346.jpg,"""""""Users feet are just seen at start of frame. The robot is entering another room, straight on. Alignment looks good with control""""""","""""""The robot guide is stepping through an open doorway, transitioning from a carpeted hallway to a room with blue tiled flooring, with the user following closely at the threshold.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000011.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000012.jpg,"""""""The dog and user are near stairs and an elevator. No obstructions visible.""""""","""""""The robot guide dog is actively guiding the user through a lobby hallway, approaching a bank of elevators situated in the background. The user is holding the harness handle and following the robot's lead. The elevator doors are closed, and the pair is currently in the initial approach phase before reaching the call button area.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000016.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000017.jpg,"""""""The user is operating the robot guide dog with a remote controller, navigating down a hallway towards a closed elevator in the distance. Another person is visible on the left.""""""","""""""The handler is on the left hand side of the robotic dog. T%he task appears to be walking to the elevator. The dog is walking and scanning the area and the path is clear with no hazards or obstructions. Appears to be no drift, good control.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000018.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000019.jpg,"""""""Robot is to the right of the room facing and elevator and stairs. No user seen.""""""","""""""The robot guide dog is standing in a spacious lobby with shiny tiled floors, facing towards a set of closed elevator doors in the background. A user's foot is visible on the far left edge, indicating they are following or standing near the robot. The robot appears to be in the 'guiding' state, initiating the approach phase of the elevator interaction task. The environment is clear of obstacles.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000030.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000031.jpg,"""""""The robot guide dog has led the user to the elevator bank. They are currently positioned in front of the closed elevator doors, adjacent to the call button panel on the left wall. The user is holding the robot's handle and has arrived at the location, preparing to locate and press the call button. The environment is clear with no other people visible.""""""","""""""User is stationery behind the robotic dog. The dog is stationery by the lift facing the control panel. The dog appears to be misaligned to enter the lift once the doors open. The goal of reaching the door has mildly been achieved.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000052.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000053.jpg,"""""""The user is pressing the green-lit elevator call button on the wall panel. The elevator has arrived and its doors are fully open, waiting for the user and robot to enter. The robot is positioned near the user, facing the open elevator car.""""""","""""""The handler appears to be on the left hand side of the lift pushing the elevator button. The robotic dogs task appears to be waiting for the lift to opne. The robotic dog is stationery facing the lift and scanning the environment. There are no obstructions or hazards in the way. Task appears to be completed.""""""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000067.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000068.jpg,"""""""Robot is elevator and not aligned to elevator door. user is outside of elevator.""""""","""""""The robot guide dog has successfully guided the user inside the elevator. The robot is standing in the cabin while the elevator doors remain open. The user is holding the handle from the left side. Another person's foot is visible near the elevator door threshold.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000087.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000088.jpg,"""""""Robot is at the left facing the elevator. User is to the right, feet are seen and hands on a controller.""""""","""""""The user and robot are inside the elevator with the doors closed, currently in the riding phase of the interaction. The robot is positioned facing the doors, standing still, while the user stands beside it holding the handle, waiting for the elevator to arrive at the destination floor.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000101.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000102.jpg,"""""""The user is beside the robot; feet and hands can be seen. The robot is going through a door towards the hallway; the handle is held with slight tension, indicating guidance to some other rooms on the other side.""""""","""""""The user and robot are inside the elevator at the destination floor. The elevator doors are fully open, revealing a clear hallway with polished floors. The robot is positioned facing the exit, waiting or preparing to guide the user out of the elevator. The user's hand is visible, positioned near the side, likely preparing to command the robot to move forward.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000110.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000111.jpg,"""""""The handler is behind the dog, with only the control and hand visible. The dogs task appears to be walking down the hallway. The dog appears to be scanning the environment and its pathe is free from hazards and obstructions. The dog appears to be travelling a misaligned path.""""""","""""""The user and robot guide dog are positioned in a spacious lobby hallway with polished tiled floors. The view is from the user's perspective, with their hand visible in the lower right reaching towards the robot. A bystander in a white shirt and blue shorts stands to the right. Glass double doors are visible in the distant background to the left, but the user is currently distant from any interaction points. The robot is standing still, suggesting an orientation or preparatory phase before navigation begins.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000115.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000116.jpg,"""""""The user follows the robotic guide dog along a hallway, remaining aligned with its path all along. The handle is held steadily, showing controlled guidance. The path followed is clear with no obstacles, and both user and robot move smoothly towards the visible elevator doors.""""""","""""""The user is holding the robot's handle as the robot guides them away from an elevator area (dark frame on the left) and initiates an approach towards a set of glass double doors in the background. A bystander is standing near the elevator. The robot is actively moving forward, transitioning from the elevator vicinity to the door interaction phase.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000116.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000117.jpg,"""""""The robot is slightly to the left of the user, the  user has the fore finger on the robot button , the user is controlling the robot to the automatic doors. A person to his left stops by the wall to allow the robot to make a smooth passage to its destination.""""""","""""""The user is interacting with the control interface on the robot's handle, likely initiating a navigation task. The robot is stationary in a tiled hallway. In the background, glass double doors are visible in the distance, indicating the target for a door interaction task. Another person is walking away in the background towards the doors.""""""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000123.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/test-elevator/000124.jpg,"""""""The user is being guided by the robot dog through a tiled lobby, moving away from an elevator on the right and approaching a set of glass double doors in the background. A bystander is visible near the destination doors.""""""","""""""Robot moves towards elevator and stairs. Users feet to the left. Robot heading towards lift.""""""",A
