prev_image,current_image,description_a,description_b,model_position
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000022.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000023.jpg,"""User and robot are approaching the elevator from a short distance; elevator doors are closed, no button interaction yet; environment is clear with no other people present.""","""Robot is in font of elevator door. user is behind robot. Robot is not aligned with elevator door.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000046.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000047.jpg,"""The robot is facing the elevator and the user is to the right side of the robot. Another users feet are facing the robot from the right side.""","""User is at the elevator threshold with robot guiding, preparing to enter as doors are fully open; another person is visible nearby, indicating social context but no obstruction.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""The robot is in a fixed position inside of the lift. Two users legs are visible stood both inside and outside of the lift. User's arm operating the control is visible on the left. Path out of the lift is blocked.""","""User is entering the elevator with robot assistance; doors are fully open, and other people are present inside and at the threshold, indicating a crowded but safe entry phase.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""User is entering the elevator with robot assistance; doors are fully open, and other people are present inside and at the threshold, indicating a crowded but safe entry phase.""","""user is standing in elevator door way. There is no robot present. there is a occupant with a toy in hand that is in the elevator. Only hand and toy is visible of the occupant in the elevator.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""User is entering the elevator with robot assistance; doors are fully open, and other people are present inside and at the threshold, indicating a crowded but safe entry phase.""","""User's hands and feet are visible. They are inside an elevator, holding remote controls.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000081.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000082.jpg,"""The handler is behind the robotic dog, only feet are visable. The task appears to be entering the elevator. The robotic dog appears to be turning inside the lift, scanning the environment. The path is free from hazards and obstructions.""","""User is stepping into the elevator with robot assistance; doors are fully open, and other individuals are present inside the elevator.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000092.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000093.jpg,"""The user is stationery on the left side of the room with feet visable. The robot dog is looking out of the lift door as it is opening, monitoring the environment. There are no hazards or obstructions in the pathway.""","""User and robot are inside the elevator with doors open; user is pressing a floor button, indicating progression to floor selection phase after successful entry.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000093.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000094.jpg,"""Robot in front of the elevator doors. there's two users to the right where feet are only seen.""","""User and robot are inside the elevator with doors open; user is interacting with floor selection panel while another person stands nearby, indicating active floor selection phase after successful entry.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000096.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000097.jpg,"""The handler is in the left hand corner of the lift, stationery with just their feet visible. The robotic dog appears to be stationery facing the lift doors, it appears to be scanning the environment, the pathway is free from hazards and obstructions. The task of getting into the lift appears to have been completed successfully.""","""Users and robot are inside the elevator with doors closed; floor selection appears complete as indicator light is on, preparing for ride phase.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000098.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000099.jpg,"""User and robot are inside the elevator with doors closed; user appears to have completed floor selection as indicated by illuminated button; task has progressed from entry to riding phase but destination not yet reached.""","""The user is stationery on the left hand side of the robotic dog. The dog is stationery and scanning the environment. The dogs path is clear and free from hazards and obstructions. The task appears to be wait at the elevator doors, and seems to be completed.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000127.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000128.jpg,"""The user is to the left hand side of the screen, appears to be stationery with only feet visable. The robot dogs task appears to be reaching the elevator doors. The Path is clear of obstructions and hazards, and the dog appears to be moving towards the doors on a misaligned path. The task of reaching the doors has not been completed.""","""User and robot are inside the elevator with doors open at the destination floor; user appears to be preparing to exit, indicating transition from riding to exiting phase.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000148.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000149.jpg,"""Robot in the middle of the room facing the elevator. Users feet seen on left and right side of robot.""","""User and robot are inside the elevator with doors open at the destination floor; user appears to be preparing to exit, indicating progression toward the final phase of the elevator interaction task.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000179.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000180.jpg,"""Robot is guiding user toward elevator; user is approaching elevator with doors closed, preparing to call it. Other people are present nearby.""","""Robot is front of elevator . user is not visible. There are no obstructions in robots path.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000206.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000207.jpg,"""Robot is in front of elevator doors. user is standing on the front left of robot with his body visible except his head. There are no visible obstructions in robots path.""","""User and robot are positioned in front of closed elevator doors, waiting for the elevator to arrive after presumably calling it. The environment is clear with other people present but not interfering. Task is in the waiting phase before entry.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000206.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000207.jpg,"""User is standing to the left of the dog who is in front of an elevator. A laptop is visible on the left.""","""User and robot are positioned in front of closed elevator doors, waiting for the elevator to arrive after presumably calling it. The environment is clear with other people present but not interfering. Task is in the waiting phase before entry.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000218.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000219.jpg,"""User is positioned at the elevator call button panel and appears to be pressing the button, while the robot is positioned nearby signaling or assisting. Elevator doors are closed, indicating the system is in the calling phase before arrival.""","""The robot is in the corner of a room/corridor with entrances to either side. The user is guiding the robot using his left hand to control it to a lift entrance. The robot is not in line with the lift door.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000222.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000223.jpg,"""User is pressing the elevator call button with assistance from the robot guide dog, which is positioned nearby. Elevator doors are closed, indicating the user is in the calling phase of the elevator interaction task.""","""Robot is facing wall roughly 5cm from the wall. User is gripping the robot from handle at the top of the machine.""",A
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000222.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000223.jpg,"""Robot is in front  of wall next to elevator door. controls hand is only visible on top of robot. The wall is obstating the robot which is preventing it from entering the elevator door.""","""User is pressing the elevator call button with assistance from the robot guide dog, which is positioned nearby. Elevator doors are closed, indicating the user is in the calling phase of the elevator interaction task.""",B
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000222.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000223.jpg,"""User is pressing the elevator call button with assistance from the robot guide dog, which is positioned nearby. Elevator doors are closed, indicating the user is in the calling phase of the elevator interaction task.""","""User and robot are right in front of the elevator door. Only user's hands are visible.""",A
