FolderName,Length,VLM,sVLM,Ours
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-01/17-23-58/human_frames,21,"You first searched randomly on the door surface, then only later moved your hand down to the actual handle. This wastes time and can confuse the robotic guide dog’s position.\nstep 1: Shift right hand lower toward mid-door area.\nstep 2: Slide hand down to handle, grip, pull fully.""","You located the correct right-hand door, found the handle after some high searching, and opened it wide enough for passage. However, you stood very close to the door edge and left the robot slightly off-center, which could interfere with safe, efficient passage. step 1: After robot stops, step so shoulder aligns handle.\nstep 2: Sweep hand sideways at handle height, then pull while stepping back.","Main mistakes: you reached too high and drifted away from the real handle area, searching on the wall instead of near the door edge at handle height. This matches common failure: wrong region and wrong direction while searching. Try this instead:\n\nstep 1: Find door edge at arm’s length, mid‑body height.\nstep 2: Slide hand down a bit, then sideways to find handle."
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-01/16-10-23/human_frames,25,"You hesitated and let the dog reach the threshold before you, reducing control and risking contact with the door frame.\nstep 1: Stay one arm-length behind robotic dog\nstep 2: As dog reaches threshold, step forward with it","You successfully followed the robot into the restroom and kept it well aligned with the doorway. However, you stayed quite close to the robot and hesitated on the threshold, sometimes standing on the ramp edge while the robot moved ahead. Increasing your following distance by about one step and committing to a smoother, continuous crossing once the robot has cleared the door will make the maneuver safer and more efficient. step 1: Increase following distance by one comfortable step.\nstep 2: Once robot clears threshold, walk through without pausing.","Main mistake: you crowded the robot at the doorway while holding the door, shrinking its space to adjust. This matches failure mode: being too close so you interfere with its pose changes.\n\nStep 1: At doors, stay half‑step behind threshold.\nStep 2: Keep arm’s‑length space; let robot adjust first."
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-01/21-17-28/human_frames,37,"You located the door but barely opened it; the gap stays small, making it hard for you and the robot to pass.\nstep 1: Slide hand down along door edge to handle.\nstep 2: Pull handle further toward you until doorway feels wide.","You correctly located the restroom door handle but spent many frames hesitating, re‑searching the door surface, and only partially opening the door while remaining in a tight corner with the robot. This leads to inefficient task completion and could block the robot from passing through safely. Focus on committing to a single, continuous pull to fully open the door and stepping your body out of the doorway to create a clear path. step 1: After finding handle, keep holding and pull fully.\nstep 2: Step back and left, keeping doorway wide for robot.","You searched on the wrong wall area, stood misaligned from the door, and spent too long working the handle instead of one smooth open. Try to correct these with a simple fixed pattern.\nstep 1: Find the door edge first at arm’s reach.\nstep 2: Slide along edge, then slightly inward to find handle.\n"
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-01/21-21-51/human_frames,27,"You slowed and drifted right, nearly brushing the doorway and wall while following the robot.\nstep 1: Stay centered behind robot, avoid hugging right wall.\nstep 2: Keep equal side clearance, adjust stride to robot speed.","You and the robot successfully entered the restroom, but you crossed the doorway too close to the robot and began closing the door while the robot was still adjusting inside. This risks trapping or bumping the robot and makes the passage inefficient. Focus on maintaining a small gap behind the robot, staying centered in the doorway, and holding the door fully open until the robot is clearly clear of the doorway before closing it. step 1: After entering, pause; ensure robot is fully clear.\nstep 2: Keep door wide open; maintain half‑step gap behind robot.","You allowed the door to become almost closed again, and you stood too close to both the door and the robot during the doorway passage. This made the opening narrow and limited the robot’s ability to adjust its position.\n\nStep 1: Stand a bit further back from the doorway.\nStep 2: Open the door wider and keep it fully open"
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-01/17-26-37/human_frames ,63,"You hesitated at the doorway and let the robot drift sideways instead of following directly through the opening.\nstep 1: Stand centered with doorway, square your shoulders.\nstep 1: Keep leash length constant, avoid pulling sideways.\nstep 2: Walk forward as robot moves, matching its speed.\nstep 2: Maintain robot centered in doorway, then fully enter room.","You successfully opened the door and ultimately entered the room, but you frequently paused at the threshold, varied your distance to the robot, and managed the door and robot separately instead of smoothly following behind it. This causes hesitation and potential interference with the robot’s path. step 1: After opening door, move forward past threshold together.\nstep 2: Keep a constant arm-length gap; avoid stopping or steering.","Your main issues: you often stand too close at the doorway, and sometimes move up before the door is fully open. This makes it hard for the robot to adjust its position and increases the chance of bumping the door or frame.\n\nStep 1: When the robot pauses at the doorway\n- Keep feet still; don’t step closer.\n- Let your arm stretch; body stays back.\n- Aim for about one arm’s length gap.\n\nStep 2: Before you step into the doorway\n- Use free hand to swing door fully open.\n- Feel full swing: no hard stop near your body.\n- Only move when pull on handle feels steady.\n\n"
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-02/10-42-38/human_frames,22,"You hesitated near the corner and didn’t approach the handle directly, making it harder to reach and pull the door fully open.\nstep 1: Move closer to right wall before reaching.\nstep 2: Slide hand right to handle, then pull backward wide.","The user correctly identified and opened the right‑side door and kept it reasonably wide for passage, but approached from slightly too far away and allowed the robot to sit very close to the corner and door swing, reducing maneuvering and safety margin. With better stopping distance, door‑side positioning, and clearer space for the robot, the task will be safer and more efficient.step 1: Stop one step closer, then reach directly. step 2: Open fully, step back from hinge and door path.","Main mistake: you started your search too low on the door, near the vent area, instead of at typical handle height. This made you work harder and search longer than needed. Step 1: Start your search higher, around hip to chest height. Step 2: From the door edge, sweep your hand forward and slightly right to find the handle. "
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-02/13-56-43/human_frames ,57,"You paused too long at the threshold and drifted left, forcing the robot close to the wall before entering.\nstep 1: Stand centered with doorway before moving.\nstep 2: Walk straight behind robot, matching its speed.","You successfully guided the robot through the doorway into the room while operating the door handle effectively. However, you consistently walked too close to the robot and the door edge, leaving limited space for the robot to adjust its path and increasing collision and pinching risk. Improving spacing and pausing to allow the robot to lead will make door transitions safer and smoother.step 1: Increase distance; let robot be one step ahead.\nstep 2: Open door fully, pause, then follow robot through.","Your main mistakes were following too closely at the doorway and moving while the door was only partly open. These make it harder for the robot to adjust and can put you at risk at the step.\nStep 1: At the doorway, stay one small step behind robot.\nStep 2: Only follow once door feels fully open and robot moves clearly in.\n\n"
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-02/13-58-54/human_frames ,21,"step 1: Keep consistent distance, avoid pulling robot sideways.\nstep 2: Align body with doorway, step straight after robot.","You successfully followed the robot into the bathroom without hitting the door or fixtures. However, your distance to the robot at the doorway was too close, reducing its ability to adjust its pose safely in the narrow entrance. Improving spacing and pausing to let the robot clear the threshold will make door passages safer and smoother. step 1: Increase gap; let robot clear doorway first.\nstep 2: Keep harness slightly extended; avoid crowding its rear.","You handled this doorway well; no major mistakes here.\n\nstep 1: Keep about one arm’s length behind the handle.\nstep 2: When you feel narrowing space, give the robot a half‑step more room."
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-02/14-00-35/human_frames ,45,"You hesitated at the threshold and drifted sideways, reducing following consistency.\nstep 1: Stay centered behind robot, keep leash length constant.\nstep 2: When robot crosses threshold, walk straight after it immediately.","You successfully followed the robotic guide dog into the bathroom without collisions. However, you often walked too close to the robot at the doorway and hesitated while crossing the threshold. Improving spacing and making a more decisive, continuous entrance once the robot has cleared the door will make this task safer and smoother. step 1: Increase gap; let robot fully cross threshold.\nstep 2: Then walk straight through doorway with short, steady steps.""","You followed too closely when the robot was at the doorway threshold, which reduced its space to adjust and made its hesitation worse.\n\nStep 1: When the robot slows at the door, take a half‑step back.\nStep 2: Hold the door wider until your arm feels nicely stretched.\n\n"
https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/outputs/2026-01-02/12-59-17/human_frames ,31,"You stayed behind the threshold and did not follow the robot fully into the room.\nstep 1: Move closer, keep robot one cane-length ahead.\nstep 2: Step through doorway directly behind robot, then stop.","You successfully opened and held the door, but you stayed outside the room and kept the robot very close in a corner, preventing it from leading you smoothly through the doorway. Focus on stepping your body forward, maintaining more distance, and allowing the robot to guide its own path through the opening. step 1: After opening, step yourself toward the doorway.\nstep 2: Keep one pole-length distance; let robot walk first.""","Your main mistakes: you were too close to the robot, and the door was often only partly open. This trapped the robot between you and the door so it could not find a good position to go inside.\n\nStep 1: When the robot stops at the door:\n- Take one small step back from the robot.\n- Feel for the door handle and open it wider.\n\nStep 2: Before you try to follow:\n- Check door by pushing until it stops moving.\n- Keep about one arm length behind the robot."
